,State,Population
1,CA,37253956
2,TX,25145561
3,NY,19378102
4,FL,18801310
5,IL,12830632
6,PA,12702379
7,OH,11536504
8,MI,9883640
9,GA,9687653
10,NC,9535483
11,NJ,8791894
12,VA,8001024
13,WA,6724540
14,MA,6547629
15,IN,6483802
16,AZ,6392017
17,TN,6346105
18,MO,5988927
19,MD,5773552
20,WI,5686986
21,MN,5303925
22,CO,5029196
23,AL,4779736
24,SC,4625364
25,LA,4533372
26,KY,4339367
27,OR,3831074
28,OK,3751351
29,CT,3574097
30,IA,3046355
31,MS,2967297
32,AR,2915918
33,KS,2853118
34,UT,2763885
35,NV,2700551
36,NM,2059179
37,WV,1852994
38,NE,1826341
39,ID,1567582
40,HI,1360301
41,ME,1328361
42,NH,1316470
43,RI,1052567
44,MT,989415
45,DE,897934
46,SD,814180
47,AK,710231
48,ND,672591
49,VT,625741
50,DC,601723
51,WY,563626
